Date;sta1;sta2;sta3;sta4;sta5
2008-01-06 01:00:00;35.4;66.1;26.9;;
2008-01-06 02:00:00;24.9;140.3;55.3;;
2008-01-06 03:00:00;23.8;126.1;57.6;;
2008-01-06 04:00:00;25.9;87.2;42.6;;
2008-01-06 05:00:00;26.9;83.7;46.6;;
2008-01-06 06:00:00;36.3;68.6;59.6;;
2008-01-06 07:00:00;40;53.5;64.3;;
2008-01-06 08:00:00;;114.8;79.3;;
2008-01-06 09:00:00;62.8;47.8;86.2;;
2008-01-06 10:00:00;59.9;52.1;73.1;;
2008-01-06 11:00:00;46.9;101.7;115.1;;
2008-01-06 12:00:00;34.8;70.1;95.4;;
2008-01-06 13:00:00;;69.9;19.7;;
2008-01-06 14:00:00;68.4;;32.8;;
2008-01-06 15:00:00;;57.1;;;
2008-01-06 16:00:00;38.8;68.3;54.8;;
2008-01-06 17:00:00;104.7;67.8;53.7;;
2008-01-06 18:00:00;105.7;244.6;103.5;;
2008-01-06 19:00:00;176.4;269.4;108.6;;
2008-01-06 20:00:00;184.2;306.3;207.7;;
2008-01-06 21:00:00;200.9;125;243.9;;
2008-01-06 22:00:00;181.4;111.3;217;;
2008-01-06 23:00:00;193.7;100;102.2;;
2008-01-07 00:00:00;295.9;179.9;164.2;;
2008-01-07 01:00:00;175.7;85.2;175.7;;
2008-01-07 02:00:00;163.6;100.6;115.6;;
2008-01-07 03:00:00;157.1;68.9;127.6;;
2008-01-07 04:00:00;224.3;143.6;28.9;;
2008-01-07 05:00:00;153.4;162.2;130.4;;
2008-01-07 06:00:00;30.4;68.3;57.7;;
2008-01-07 07:00:00;20.1;138.8;32.1;;
2008-01-07 08:00:00;;286.8;38.6;;
2008-01-07 09:00:00;36.6;203.5;101;;
2008-01-07 10:00:00;24.4;258.7;65.7;;
2008-01-07 11:00:00;40.9;113.4;147.9;;13
2008-01-07 12:00:00;26;38;135;;39.2
2008-01-07 13:00:00;;73.9;67.7;;27.3
2008-01-07 14:00:00;30.5;148.9;65.3;;27.5
2008-01-07 15:00:00;;151.7;35.8;;50.4
2008-01-07 16:00:00;66.3;;65.6;28.1;39.5
2008-01-07 17:00:00;44.7;109.8;46.4;;50.6
2008-01-07 18:00:00;45.1;207.6;26.5;21.4;29.4
2008-01-07 19:00:00;66.8;152.8;57.2;34.3;77.9
2008-01-07 20:00:00;62.4;;53.3;24.6;63.1
2008-01-07 21:00:00;82;156.1;79.4;53.8;105.1
2008-01-07 22:00:00;129.9;92.6;100.5;51;69.4
2008-01-07 23:00:00;74;85.1;95.9;34.6;94.7
2008-01-08 00:00:00;64.5;173;109.9;42.2;55
2008-01-08 01:00:00;67.7;282.3;61.1;35.3;100
2008-01-08 02:00:00;52.6;123.9;29.8;;61.7
2008-01-08 03:00:00;34.7;159.9;78.6;;64.2
2008-01-08 04:00:00;67.9;185.2;25.3;40.4;73.1
2008-01-08 05:00:00;66;160.5;67.9;31.4;40.4
2008-01-08 06:00:00;50;87.4;31;;22.1
2008-01-08 07:00:00;47.6;398.5;18.1;;77.3
2008-01-08 08:00:00;57;;;20.1;65.3
2008-01-08 09:00:00;121.9;167.6;102.6;53.1;173
2008-01-08 10:00:00;122.2;193.9;170.9;49.1;123.6
2008-01-08 11:00:00;42.9;99.5;66.1;44.7;98.8
2008-01-08 12:00:00;69.3;108.9;90;26.8;101.9
2008-01-08 13:00:00;14.4;106.1;34.3;36.8;47
2008-01-08 14:00:00;38.6;260.7;33.8;;76
2008-01-08 15:00:00;;433;38.2;;87.9
2008-01-08 16:00:00;52.1;132.7;26;21.1;130.8
2008-01-08 17:00:00;69.2;208.5;43.8;24.3;111.7
2008-01-08 18:00:00;56.5;227.3;79.4;41.8;103.6
2008-01-08 19:00:00;62.3;201.6;52.5;25.6;114.1
2008-01-08 20:00:00;73.9;;70.1;33;70.8
2008-01-08 21:00:00;71.7;101.1;56.4;43;135.7
2008-01-08 22:00:00;68.3;128.8;70.9;34.8;120.8
2008-01-08 23:00:00;44;199.2;77;27.5;42.8
2008-01-09 00:00:00;60.1;337.5;67.9;37.5;44
2008-01-09 01:00:00;;205.6;50.7;21.6;
2008-01-09 02:00:00;34.4;233.8;42.9;29.5;36.6
2008-01-09 03:00:00;;;43.7;;31.4
2008-01-09 04:00:00;39.1;160.6;;18.8;16.5
2008-01-09 05:00:00;40;141.3;;20.4;19.9
2008-01-09 06:00:00;12.2;338.1;14.9;;54.2
2008-01-09 07:00:00;34.9;184.8;;38.2;44
2008-01-09 08:00:00;33.4;205.7;;14.3;59.2
2008-01-09 09:00:00;52.9;107.8;;31.6;84.9
2008-01-09 10:00:00;76.3;63.7;61.2;40.5;112.3
2008-01-09 11:00:00;44;75.6;53.1;34.8;99.5
2008-01-09 12:00:00;36.1;155.6;64;45.9;74.8
2008-01-09 13:00:00;58.8;;54.3;15.6;49.4
2008-01-09 14:00:00;42.2;179.8;49.7;;121.7
2008-01-09 15:00:00;32.1;261.5;43.5;;95.8
2008-01-09 16:00:00;50.7;50.8;36.5;22.8;116.7
2008-01-09 17:00:00;60.9;68.9;80.3;32.4;72.9
2008-01-09 18:00:00;53.6;105.3;35.4;17.7;90
2008-01-09 19:00:00;35.2;308.5;52.8;;95
